Document Title,Abstract,Year,PDF Link,Authors,Source,label,Round 2,
Supporting the selection of model-based testing approaches for software projects ,,NA,NA,"Arilo Claudio Dias Neto, Guilherme Horta Travassos ","AST '08: Proceedings of the 3rd international workshop on Automation of software test , May 2008 , Publisher: ACM ",yes,y,
In search of `architectural knowledge' ,,NA,NA,"Remco C. de Boer, Rik Farenhorst ","SHARK '08: Proceedings of the 3rd international workshop on Sharing and reusing architectural knowledge, May 2008 , Publisher: ACM ",yes,y,
A survey on model-based testing approaches: a systematic review ,,NA,NA,"Arilo C. Dias Neto, Rajesh Subramanyan, Marlon Vieira, Guilherme H. Travassos ","WEASELTech '07: Proceedings of the 1st ACM international workshop on Empirical assessment of software engineering languages and technologies: held in conjunction with the 22nd IEEE/ACM International Conference on Automated Software Engineering (ASE) 2007 , November 2007 , Publisher: ACM ",yes,y,
Supporting the selection of model-based testing approaches for software projects ,,NA,NA,"
Arilo Claudio Dias Neto, Guilherme Horta Travassos 
","AST '08: Proceedings of the 3rd international workshop on Automation of software test , May 2008 , Publisher: ACM ",yes,y,
A Comparison of Software Project Overruns-Flexible versus Sequential Development Models,,NA,NA,"
By Kjetil Molokken-Ostvold , Magne Jorgensen ","Found in: IEEE Transactions on Software Engineering 
Issue Date:September 2005 
pp. 754-766
",yes,n,
Experiences from Conducting Semi-structured Interviews in Empirical Software Engineering Research,,NA,NA,"
By Siw Elisabeth Hove , Bente Anda ","Found in: 11th IEEE International Software Metrics Symposium (METRICS'05) 
Issue Date:September 2005 
pp. 23
",yes,y,
Requirements of Software Visualization Tools: A Literature Survey,,NA,NA,"
By Holger M. Kienle , Hausi A. Muller ","Found in: 2007 4th IEEE International Workshop on Visualizing Software for Understanding and Analysis 
Issue Date:June 2007 
pp. 2-9
",yes,y,
Building Reverse Engineering Tools with Software Components: Ten Lessons Learned,,NA,NA,"
By Holger M. Kienle ","Found in: 14th Working Conference on Reverse Engineering (WCRE 2007) 
Issue Date:October 2007 
pp. 289-292
",yes,y,
Embedded Systems Development: Quest for Productivity and Reliability,,NA,NA,"
By Abdelgadir E. Ibrahim , Liping Zhao , John Kinghorn ","Found in: Fifth International IEEE Conference on Commercial-off-the-Shelf (COTS)-Based Software Systems (ICCBSS'06) 
Issue Date:February 2006 
pp. 23-32
",yes,y,
What Architects Should Know About Reverse Engineering and Rengineering,,NA,NA,"
By Rainer Koschke ","Found in: Fifth Working IEEE/IFIP Conference on Software Architecture (WICSA'05) 
Issue Date:November 2005 
pp. 4-10
",yes,y,
Software Architecture Visualization: An Evaluation Framework and Its Application,,NA,NA,"
By Keith Gallagher , Andrew Hatch , Malcolm Munro ","Found in: IEEE Transactions on Software Engineering 
Issue Date:March 2008 
pp. 260-270
",yes,y,
Open Source Software in Industry,,NA,NA,"
By Christof Ebert ","Found in: IEEE Software 
Issue Date:May 2008 
pp. 52-53 
",yes,n,
Commonalities in Risk Management and Agile Process Models,,NA,NA,"
By Jaana Nyfjord , Mira Kajko-Mattsson ","Found in: International Conference on Software Engineering Advances (ICSEA 2007) 
Issue Date:August 2007 
pp. 18
",yes,y,
Transformational Approaches to Model Driven Architecture - A Review,,NA,NA,"
By Chunying Zhao , Kang Zhang ","Found in: 31st IEEE Software Engineering Workshop (SEW 2007) 
Issue Date:March 2007 
pp. 67-74
",yes,y,
Project Management within Virtual Software Teams,,NA,NA," 
By Valentine Casey , Ita Richardson ","Found in: International Conference on Global Software Engineering (ICGSE'06)
Issue Date:October 2006 
pp. 33-42
",yes,n,
Conceptual Modeling for Simulation: Issues and Research Requirements,,NA,NA,"
By S. Robinson ","Found in: Proceedings of the 2006 Winter Simulation Conference 
Issue Date:December 2006 
pp. 792-800
",yes,y,
Using RFID Technologies to Capture Simulation Data in a Hospital Emergency Department,,NA,NA,"
By M.J. Miller , D.M. Ferrin , T. Flynn , M. Ashby , K. Preston White , M.G. Mauer","Found in: Proceedings of the 2006 Winter Simulation Conference  
Issue Date:December 2006 
pp. 1365-1371
",yes,n,
A Conceptual Model of ICT-Supported Unified Process of International Outsourcing of Software Production ,,NA,NA,Anicet Yalaho ,"EDOCW '06: Proceedings of the 10th IEEE on International Enterprise Distributed Object Computing Conference Workshops , October 2006, Publisher: IEEE Computer Society ",yes,y,
Special Characteristics of Software and Software Markets - Implications for Managing Software Business ,,NA,NA,"Mikko Ronkko, Paivi Poyry ","EUROMICRO '06: Proceedings of the 32nd EUROMICRO Conference on Software Engineering and Advanced Applications , August 2006 , Publisher: IEEE Computer Society ",yes,y,
Motivation in Software Engineering: A systematic literature review,,NA,NA,"Sarah Beecham, Nathan Baddoo, Tracy Hall, Hugh Robinson, Helen Sharp ","Information and Software Technology,   Volume 50 Issue 9-10, August 2008 , Publisher: Butterworth-Heinemann ",yes,y,
Empirical study of the effects of open source adoption on software development economics ,,NA,NA,"Samuel A. Ajila, Di Wu ","Journal of Systems and Software,   Volume 80 Issue 9 , September 2007 , Publisher: Elsevier Science Inc. ",yes,n,
Review article: A review of structured document retrieval (SDR) technology to improve information access performance in engineering document management,,NA,NA,"S. Liu, C. A. McMahon, S. J. Culley ","Computers in Industry,   Volume 59 Issue 1 , January 2008 , Publisher: Elsevier Science Publishers B. V. ",yes,y,
Techniques for developing more accessible web applications: a survey towards a process classification ,,NA,NA,"Andre Pimenta Freire, Rudinei Goularte, Renata Pontin de Mattos Fortes ","SIGDOC '07: Proceedings of the 25th annual ACM international conference on Design of communication , October 2007  , Publisher: ACM ",yes,y,
A meta-analysis of the technology acceptance model ,,NA,NA,"William R. King, Jun He ","Information and Management,   Volume 43 Issue 6 ,September 2006 ,Publisher: Elsevier Science Publishers B. V. ",yes,n,
Controversy Corner: A new research agenda for tool integration,,NA,NA,"M. N. Wicks, R. G. Dewar ","Journal of Systems and Software,   Volume 80 Issue 9 , September 2007 , Publisher: Elsevier Science Inc. ",yes,y,
Component airbag: a novel approach to develop dependable component-based applications,,NA,NA,Roberto Pietrantuono ,"ESEC-FSE '07: Proceedings of the the 6th joint meeting of the European software engineering conference and the ACM SIGSOFT symposium on The foundations of software engineering, September 2007, Publisher: ACM ",yes,y,
Web engineering security: a practitioner's perspective ,,NA,NA,"William Bradley Glisson, Andrew McDonald, Ray Welland ","ICWE '06: Proceedings of the 6th international conference on Web engineering , July 2006 , Publisher: ACM ",yes,n,
Integrating XML and Relational Database Systems ,,NA,NA,"Gerti Kappel, Elisabeth Kapsammer, Werner Retschitzegger ","World Wide Web,   Volume 7 Issue 4, December 2004, Publisher: Kluwer Academic Publishers ",yes,y,
A survey and taxonomy of approaches for mining software repositories in the context of software evolution,,NA,NA,"Huzefa Kagdi, Michael L. Collard, Jonathan I. Maletic ","Journal of Software Maintenance and Evolution: Research and Practice,   Volume 19 Issue 2, March 2007, Publisher: John Wiley & Sons, Inc. ",yes,y,
A critical evaluation of literature on visual aesthetics for the web ,,NA,NA,"Ralf Hoffmann, Kirstin Krauss ","SAICSIT '04: Proceedings of the 2004 annual research conference of the South African institute of computer scientists and information technologists on IT research in developing countries, October 2004, Publisher: South African Institute for Computer Scientists and Information Technologists ",yes,y,
Figure Out the Current Software Requirements Engineering - What Practitioners Expect to Requirements Engineering? - ,,NA,NA,"Mayumi Itakura Kamata, Ai Yoshimoto Yoshida, Hisashi Yoshida, Nao Aoki ","APSEC '07: Proceedings of the 14th Asia-Pacific Software Engineering Conference, December 2007, Publisher: IEEE Computer Society ",yes,y,
A fault-tolerant approach to test control utilizing dual-redundant processors,,NA,NA,"Richard W. Dabney, Letha Etzkorn, Glenn W. Cox ","Advances in Engineering Software,   Volume 39 Issue 5, May 2008, Publisher: Elsevier Science Ltd. ",yes,y,
Computer vision in the interface ,,NA,NA,Matthew Turk ,"Communications of the ACM,   Volume 47 Issue 1, January 2004, Publisher: ACM ",yes,n,
A survey of literature on the teaching of introductory programming ,,NA,NA,"Arnold Pears, Stephen Seidman, Lauri Malmi, Linda Mannila, Elizabeth Adams, Jens Bennedsen, Marie Devlin, James Paterson ","ITiCSE-WGR '07: Working group reports on ITiCSE on Innovation and technology in computer science education, December 2007, Publisher: ACM ",yes,n,
Software process improvement in small and medium software enterprises: a systematic review ,,NA,NA,"Francisco J. Pino, F?lix Garc?a, Mario Piattini ","Software Quality Control,   Volume 16 Issue 2, June 2008, Publisher: Kluwer Academic Publishers, pp 237 - 261",yes,y,
The type of evidence produced by empirical software engineers ,,NA,NA,"Judith Segal, Antony Grinyer, Helen Sharp ","REBSE '05: Proceedings of the 2005 workshop on Realising evidence-based software engineering, May 2005, Publisher: ACM, pp. 66-73",yes,y,
Systematic review: A systematic review of effect size in software engineering experiments,,NA,NA,"Vigdis By Kampenes, Tore Dyb?, Jo E. Hannay, Dag I. K. Sj?berg ","Information and Software Technology,   Volume 49 Issue 11-12, November 2007, Publisher: Butterworth-Heinemann pp. 1073 - 1086",yes,y,y
An Empirical Exploration of the Distributions of the Chidamber and Kemerer Object-Oriented Metrics Suite,,NA,NA,"Giancarlo Succi, Witold Pedrycz, Snezana Djokic, Paolo Zuliani, Barbara Russo ","Empirical Software Engineering,   Volume 10 Issue 1, January 2005, Publisher: Kluwer Academic Publishers ",yes,y,
Experimental context classification: incentives and experience of subjects,,NA,NA,"Martin H?st, Claes Wohlin, Thomas Thelin ","ICSE '05: Proceedings of the 27th international conference on Software engineering, May 2005, Publisher: ACM ",yes,y,
"Quality, productivity and economic benefits of software reuse: a review of industrial studies ",,NA,NA,"Parastoo Mohagheghi, Reidar Conradi ","Empirical Software Engineering,   Volume 12 Issue 5, October 2007, Empirical Software Engineering,   Volume 12 Issue 5, October 2007, Publisher: Kluwer Academic Publishers",yes,y,
Refactoring test suites versus test behaviour: a TTCN-3 perspective,,NA,NA,"Steve Counsell, Rob M. Hierons ","SOQUA '07: Fourth international workshop on Software quality assurance: in conjunction with the 6th ESEC/FSE joint meeting, September 2007, Publisher: ACM ",yes,y,
Advances in dataflow programming languages. ,,NA,NA," W. M. Johnston, J. R. P. Hanna, and R. J. Millar. ","Acm Computing Surveys 36 (1):1-34, 2004.",yes,y,
Applications of agent technology in communications: a review.,,NA,NA,S. S. Manvi and P. Venkataram. ,"Computer Communications 27 (15):1493-1508, 2004.",yes,n,
 Statistical significance testing - a panacea for software technology experiments? ,,NA,NA,J. Miller.,"Journal of Systems and Software 73 (2):183-192, 2004.",yes,n,
The design of participatory agent-based social simulations.,,NA,NA,A. M. Ramanath and N. Gilbert. ," Jasss-the Journal of Artificial Societies and Social Simulation 7 (4), 2004.",yes,y,
Postmortem reviews: purpose and approaches in software engineering. ,,NA,NA,T. Dingsoyr. ,"Information and Software Technology 47 (5):293-303, 2005.",yes,y,
"Software engineering: The past, the future, and your TCSE.",,NA,NA,K. Read. ," Ieee Software 22 (4):106-107, 2005.",yes,n,
In-house software development: What project management practices lead to success? ,,NA,NA,J. M. Verner and W. M. Evanco. ,"Ieee Software 22 (1):86-+, 2005.",yes,n,
 Development of software engineering: A research perspective. ,,NA,NA,"H. Mei, D. G. Cao, and F. Q. Yang.","Journal of Computer Science and Technology 21 (5):682-696, 2006.",yes,y,
Supporting software development with roles. ,,NA,NA,"H. B. Zhu, M. C. Zhou, and P. Seguin. ","Ieee Transactions on Systems Man and Cybernetics Part A-Systems and Humans 36 (6):1110-1123, 2006.",yes,y,
The art and science of software architecture.,,NA,NA,A. W. Brown and J. A. McDermid.  ,"International Journal of Cooperative Information Systems 16 (3-4):439-466, 2007.",yes,n,
 Measurement in software engineering: From the roadmap to the crossroads.,,NA,NA,"C. G. P. Bellini, R. D. D. Pereira, and J. L. Becker. ","International Journal of Software Engineering and Knowledge Engineering 18 (1):37-64, 2008.",yes,y,
Towards management of software as assets: A literature review with additional sources. ,,NA,NA,M. Ben-Menachem. ,"Information and Software Technology 50 (4):241-258, 2008.",yes,y,
Determining the impact of software engineering research on practice. ,,NA,NA,"L. J. Osterweil, C. Ghezzi, J. Kramer, A. L. Wolf, B. Ryder, M. L. Soffa, J. Estublier, D. Rombach, M. Ciolkowski, W. Emmerich, M. Aoyama, L. A. Clarke, and D. S. Rosenblum. ","Computer 41 (3):39-+, 2008.",yes,n,
Systematic review of organizational motivations for adopting CMM-based SPI,,NA,NA,M. Staples and M. Niazi. ," Information and Software Technology 50 (7-8):605-620, 2008.",yes,y,
Never the CS and IS Twain Shall Meet?,,NA,NA,"
By Robert L. Glass","Found in: IEEE Software  
Issue Date:September 2005 
pp. 120, 119
",yes,n,
Microformats: The Next (Small) Thing on the Semantic Web?,,NA,NA,"
By Rohit Khare ","Found in: IEEE Internet Computing 
Issue Date:January 2006 
pp. 68-75
",yes,n,
Mobrex: Visualizing Users' Mobile Browsing Behaviors,,NA,NA,"
By Stefano Burigat , Luca Chittaro , Lucio Ieronutti ","Found in: IEEE Computer Graphics and Applications 
Issue Date:January 2008 
pp. 24-32
",yes,n,
An assessment of systems and software engineering scholars and institutions (1999-2003) ,,NA,NA,"Robert L. Glass, T. Y. Chen ","April 2005, Journal of Systems and Software,   Volume 76 Issue 1, Publisher: Elsevier Science Inc. ",yes,n,
How influential is Brooks' Law? A longitudinal citation context analysis of Frederick Brooks' The Mythical Man-Month,,NA,NA,"Katherine W. McCain, Laura J. Salvucci ","June 2006, Journal of Information Science,   Volume 32 Issue 3, Publisher: Sage Publications, Inc.",yes,n,
Adoption-Centric Software Maintenance Process Improvement via Information Integration,,NA,NA,"
By Shihong Huang , Scott Tilley , Mike VanHilst , Damiano Distante","13th IEEE International Workshop on Software Technology and Engineering Practice (STEP'05)  
Issue Date:September 2005 
pp. 25-34
",yes,y,
Architecture-Based Software Reliability Analysis: Overview and Limitations,,NA,NA," 
By Swapna S. Gokhale ","IEEE Transactions on Dependable and Secure Computing
Issue Date:January 2007 
pp. 32-40
",yes,y,
Tool integration in software engineering: The state of the art in 2004   ,,NA,NA,Mike Wicks ,Can't see source,yes,y,
Software Components Evaluation: an Overview,,NA,NA,"M Goul?o, F B Abreu ",In Proceedings of the 5? Confer?ncia da APSI,yes,y,
SArt: Towards Innovation at the intersection of Software engineering and art,,NA,NA,"Anna Trifonova, Salah U. Ahmed, Letizia Jaccheri",? 2007 ? Proceedings of The 16th International Conference on Information Systems Development,yes,y,
Mobile Systems Development - A literature review  ,,NA,NA," 
Jens Henrik Hosbond, Peter Axel Nielsen ",? 2005 ? Proceedings of IFIP 8.2 Annual Conference,yes,y,
Implementing requirements engineering processes throughout organizations: success factors and challenges,,NA,NA,"
Marjo Kauppinena,*, Matti Vartiainenb, Jyrki Kontioa, Sari Kujalaa, Reijo Sulonena","Information and Software Technology, 46 (14), 937-953.",yes,y,
Exploring the Computing Literature Using Temporal Graph Visualization,,NA,NA,"C. Erten, P. J. Harding, S. G. Kobourov, K. Wampler and G. Yee","Conference on Visualization and Data Analysis (VDA) 2004
",yes,Y,
The Golden Age of Software Architecture: A Comprehensive Survey,,NA,NA,Mary Shaw and Paul Clements,"Published in IEEE Software, March/April 2006 [79].",yes,y,
"Tightening knowledge sharing in distributed software communities by applying semantic technologies 
IST PROJECT 35111 ",,NA,NA,"Spyros Ntioudis, Walid Maalej, Hans-Joerg Happel, Dimitris Panagiotou ","Information Society Technologies (IST) 
September 1st, 2006 ",yes,y,
Empiricism in Computer Science,,NA,NA,Eike Send,"Seminar ?Open Source Software Engineering?
Winterterm 2004",yes,y,
Higher Order Pheromone Models in Ant Colony Optimisation,,NA,NA,James Montgomery,"Book Series Lecture Notes in Computer Science, Publisher Springer Berlin / Heidelberg, ISSN 0302-9743 (Print) 1611-3349 (Online), Volume 4150/2006, Book Ant Colony Optimization and Swarm Intelligence, Pages 17-29, SpringerLink Date Tuesday, March 09, 2004",yes,n,
Reporting Experiments in Software Engineering ,,NA,NA,"Andreas Jedlitschka, Marcus Ciolkowski and Dietmar Pfahl","Book Guide to Advanced Empirical Software Engineering, Publisher Springer London, DOI 10.1007/978-1-84800-044-5, ISBN 978-1-84800-043-8 (Print) 978-1-84800-044-5 (Online), Part Section II, Pages 201-228, SpringerLink Date Wednesday, November 21, 2007",yes,y,
Tailoring and Introduction of the Rational Unified Process ,,NA,NA,"Geir Kjetil Hanssen, Finn Olav Bj?rnson and Hans Westerheim ","Book Series Lecture Notes in Computer Science, Publisher Springer Berlin / Heidelberg, Volume 4764/2007, Book Software Process Improvement, Pages 7-18, SpringerLink Date Thursday, September 13, 2007",yes,y,
A Systematic Review Measurement in Software Engineering: State-of-the-Art in Measures ,,NA,NA,"Oswaldo G?mez, Hanna Oktaba, Mario Piattini and F?lix Garc?a ","Book Series Communications in Computer and Information Science, Volume 10, Book Software and Data Technologies, Part 3, Pages 165-176, SpringerLink Date Friday, July 18, 2008",yes,y,
Reflections on 10 Years of Software Process Simulation Modeling,,NA,NA,"He Zhang, Barbara Kitchenham and Dietmar Pfahl ","Book Series Lecture Notes in Computer Science, Volume 5007/2008, Book Making Globally Distributed Software Development a Success Story, Pages 345-356, SpringerLink Date Tuesday, May 06, 2008",yes,y,
MDE for BPM: A Systematic Review ,,NA,NA,"Jose Manuel Perez, Francisco Ruiz and Mario Piattini ","Book Series Communications in Computer and Information Science, Volume 10, Book Software and Data Technologies, Part 3, Pages 127-135, SpringerLink Date Friday, July 18, 2008",yes,y,
Measuring Effective Data Visualization ,,NA,NA,Ying Zhu ,"Book Series Lecture Notes in Computer Science, Volume 4842/2007, Book Advances in Visual Computing, Pages 652-661, SpringerLink Date Thursday, November 22, 2007",yes,y,
Digital Human Modeling for Product Lifecycle Management ,,NA,NA,H. Onan Demirel and Vincent G. Duffy ,"Book Series Lecture Notes in Computer Science, Volume 4561/2007, Book Digital Human Modeling, Pages 372-380, SpringerLink Date Friday, August 24, 2007",yes,n,
History and literature review,,NA,NA,Can't see authors,"Book Series Lecture Notes in Computer Science, Volume 42/1976, Book Complementary Definitions of Programming Language Semantics, Pages 5-21, SpringerLink Date Monday, April 10, 2006",yes,y,
Software Multi-project Resource Scheduling: A Comparative Analysis,,NA,NA,"Fei Dong, Mingshu Li, Yuzhu Zhao, Juan Li and Ye Yang ","Book Series Lecture Notes in Computer Science,  Volume 5007/2008, Book Making Globally Distributed Software Development a Success Story, Pages 63-75, SpringerLink Date Tuesday, May 06, 2008",yes,y,
A First Approach to a Data Quality Model for Web Portals ,,NA,NA,"Angelica Caro, Coral Calero, Ismael Caballero and Mario Piattini ","Book Series Lecture Notes in Computer Science, Volume 3982/2006, Book Computational Science and Its Applications - ICCSA 2006, Pages 984-993, SpringerLink Date Thursday, May 11, 2006",yes,y,
Agile Methods: The Gap between Theory and Practice,,NA,NA,Kieran Conboy ,"Book Series Lecture Notes in Computer Science, Volume 3092/2004, Book Extreme Programming and Agile Processes in Software Engineering, Page 316, SpringerLink Date Friday, May 14, 2004",yes,y,
Case Study of Breakdown Analysis on Identification of Remote Team Communication Problems,,NA,NA,Lai-Chung Lee and Whei-Jane Wei ,"Book Series Lecture Notes in Computer Science, Volume 3865/2006, Book Computer Supported Cooperative Work in Design II, Pages 122-130, SpringerLink Date Sunday, February 26, 2006",yes,y,
Forward and Bidirectional Planning Based on Reinforcement Learning and Neural Networks in a Simulated Robot,,NA,NA,Gianluca Baldassarre ,"Book Series Lecture Notes in Computer Science, Volume 2684/2004, Book Anticipatory Behavior in Adaptive Learning Systems, Pages 87-106, SpringerLink Date Thursday, February 19, 2004",yes,y,
Mathematical Methods for Shape Analysis and form Comparison in 3D Anthropometry: A Literature Review ,,NA,NA,"Jianwei Niu, Zhizhong Li and Gavriel Salvendy ","Book Series Lecture Notes in Computer Science, Volume 4561/2007, Book Digital Human Modeling, Pages 161-170
Subject Collection Computer Science, SpringerLink Date Friday, August 24, 2007",yes,n,
Distributed real time database systems: background and literature review ,,NA,NA,"Udai Shanker, Manoj Misra and Anil K. Sarje ","Journal Distributed and Parallel Databases,. Volume 23, Number 2 / April, 2008, SpringerLink Date Saturday, January 26, 2008",yes,y,
Designing Mobile Shared Workspaces for Loosely Coupled Workgroups,,NA,NA,"Andr?s Neyem, Sergio F. Ochoa and Jos? A. Pino ","Book Series Lecture Notes in Computer Science, Volume 4715/2007, Book Groupware: Design, Implementation, and Use, Pages 173-190, SpringerLink Date Thursday, August 30, 2007",yes,y,
Immune System Approaches to Intrusion Detection ? A Review ,,NA,NA,"Uwe Aickelin, Julie Greensmith and Jamie Twycross ","Book Series Lecture Notes in Computer Science, Volume 3239/2004, Book Artificial Immune Systems, Pages 316-329, SpringerLink Date Thursday, August 19, 2004",yes,n,
How Artificial Intelligent Agents Do Shopping in a Virtual Mall: A ?Believable? and ?Usable? Multiagent-Based Simulation of Customers? Shopping Behavior in a Mall,,NA,NA,Walid Ali and Bernard Moulin ,"Book Series Lecture Notes in Computer Science, Volume 4013/2006, Book Advances in Artificial Intelligence, Pages 73-85, SpringerLink Date Wednesday, May 31, 2006",yes,y,
A Methodology for Identifying Critical Success Factors That Influence Software Process Improvement Initiatives: An Application in the Brazilian Software Industry ,,NA,NA,Mariano Montoni and Ana Regina Rocha ,"Book Series Lecture Notes in Computer Science,. Volume 4764/2007, Book Software Process Improvement, Pages 175-186, SpringerLink Date Thursday, September 13, 2007",yes,y,
Requirements Analysis: A Review,,NA,NA,Joseph Catanio,"Book Advances in Systems, Computing Sciences and Software Engineering,Pages 411-418,SpringerLink Date Thursday, September 27, 2007",yes,y,
Process Design Theory for Digital Information Services ,,NA,NA,Fons Wijnhoven ,"Book Methods and Tools for Effective Knowledge Life-Cycle-Management, Part Part 3, Pages 533-546, SpringerLink Date Tuesday, April 01, 2008",yes,y,
Mobile Systems Development: A Literature Review ,,NA,NA,Jens Henrik Hosbond and Peter Axel Nielsen,"Book Series IFIP International Federation for Information Processing, Volume 185/2005, Book Designing Ubiquitous Information Environments: Socio-Technical Issues and Challenges, Pages 215-232, SpringerLink Date Thursday, February 09, 2006",yes,y,
A Model for Requirements Change Management: Implementation of CMMI Level 2 Specific Practice,,NA,NA,"Mahmood Niazi, Charles Hickman, Rashid Ahmad and Muhammad Ali Babar ","Book Series Lecture Notes in Computer Science, Volume 5089/2008, Book Product-Focused Software Process Improvement, Pages 143-157, SpringerLink Date Tuesday, June 17, 2008",yes,y,
Challenges in Collaborative Modeling: A Literature Review ,,NA,NA,"Michiel Renger, Gwendolyn L. Kolfschoten   and Gert-Jan de Vreede","Book Series Lecture Notes in Business Information Processing, Volume 10, Book Advances in Enterprise Engineering I, Pages 61-77, SpringerLink Date Tuesday, June 10, 2008",yes,y,
